hood_id	seqid	start	end	align_gene	ipg_id	source	protein name	organism	strain	ipg_protein_id
75	LROU01000057.1	0	8373	KYF37509.1	105584234	INSDC	CRISPR-associated protein, Csn1 family	Streptococcus mitis	M3-1	KYF37509.1
77	JACBXN010000056.1	27806	71796	MBG9989228.1	379501647	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Aerococcaceae bacterium DSM 111176	DSM 111176	MBG9989228.1
79	JAFBFE010000002.1	116178	158113	MBM7710994.1	408734425	INSDC	CRISPR/Cas system Type II protein with McrA/HNH and RuvC-like nuclease domain	Enterococcus xiangfangensis	DSM 105127	MBM7710994.1
81	JAFRCC010000022.1	0	41858	MBQ3409273.1	434922617	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Clostridia bacterium		MBQ3409273.1
80	JAFBFE010000002.1	118121	160167	MBM7710995.1	408734318	INSDC	CRISPR subtype II RNA-guided endonuclease Cas9/Csn1	Enterococcus xiangfangensis	DSM 105127	MBM7710995.1
82	JAJBDM010000035.1	0	17380	MCB5012212.1	496953506	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus mutans	KSM157	MCB5012212.1
78	JADJQI010000001.1	74244	118309	MBK8154791.1	393698793	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp.		MBK8154791.1
95	JALEZD010000019.1	0	27403	MCI6272483.1	537010321	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Erysipelotrichaceae bacterium		MCI6272483.1
96	JAAVZU010000010.1	0	27697	MCI8407840.1	538306250	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Lachnospiraceae bacterium		MCI8407840.1
100	WRLH01000007.1	43905	88126	MCL2050976.1	551022318	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Lachnospiraceae bacterium		MCL2050976.1
104	JAMXJG010000006.1	26010	70006	MCW6676628.1	594308774	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Aerococcaceae bacterium NML180378	NML180378	MCW6676628.1
103	QIPX01000001.1	0	30442	MCO4627926.1	560126013	INSDC	CRISPR-associated protein	Streptococcus infantarius subsp. infantarius	D726	MCO4627926.1
105	JAQVWN010000022.1	0	31025	MDD8049432.1	628721398	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Thomasclavelia sp.		MDD8049432.1
109	JAKTNK010000007.1	0	29738	MDG3142185.1	643440263	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus suis	SSQJ-5	MDG3142185.1
110	JAIRWF010000027.1	0	37411	MDR0199748.1	693245540	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Streptococcaceae bacterium		MDR0199748.1
113	JAISTP010000050.1	0	26752	MDR1782415.1	694473202	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Bacilli bacterium		MDR1782415.1
112	JAISJD010000012.1	53700	97864	MDR0921336.1	694190358	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Lactobacillales bacterium		MDR0921336.1
111	JAIRVD010000281.1	0	10758	MDR0273160.1	693182639	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Clostridiales bacterium		MDR0273160.1
119	JAYFPY010000026.1	991	29808	MEA4923012.1	730639613	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Eubacteriaceae bacterium		MEA4923012.1
121	JAXJFD010000010.1	85436	129510	MEE0216310.1	788859995	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Lachnospira sp.		MEE0216310.1
127	JAVXCJ010000014.1	0	23287	MEG2522276.1	810009128	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Anaerovoracaceae bacterium		MEG2522276.1
130	JBKEDL010000041.1	0	36773	MFV0558057.1	981657745	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus sp.		MFV0558057.1
131	JBKEDT010000006.1	0	10561	MFV0559315.1	981689061	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus sp.		MFV0559315.1
145	PQOA01000098.1	0	22586	RYC75270.1	231193625	INSDC	CRISPR-associated endonuclease Cas9	Candidatus Nanosynsacchari sp. TM7_G1_3_12Alb	TM7_G1_3_12A	RYC75270.1
139	JBQELA010000017.1	10013	46414	MGO3732698.1	1064853527	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus sp.		MGO3732698.1
142	JAAYSC010000061.1	0	25402	NLP48588.1	315765598	INSDC	type II CRISPR RNA-guided endonuclease Cas9	Clostridiales bacterium		NLP48588.1
143	JXKH01000002.1	88413	132283	OJG19241.1	129896000	INSDC	CRISPR-associated protein cas9/csn1, subtype II/nmemi	Enterococcus canis	DSM 17029	OJG19241.1
137	JBIOLR010000001.1	301591	344264	MGL9793589.1	1056153992	INSDC	CRISPR-associated protein cas9/csn1, subtype II/nmemi	Enterococcus sp. DIV1283b	DIV1283b	MGL9793589.1
151	NZ_JAPCZZ010000001.1	126919	170429	WP_000952237.1	33452783	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus agalactiae	DMC15	WP_000952237.1
144	CP065059.1	710742	752812	QTZ56678.1	436210008	INSDC	CRISPR-associated endonuclease Cas9/Csn1	Streptococcus equi subsp. zooepidemicus	SEZ25	QTZ56678.1
152	NZ_AHRC01000040.1	0	26762	WP_002264920.1	33628294	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus mutans S1B	S1B	WP_002264920.1
153	NZ_AHRP01000055.1	0	18613	WP_002275430.1	33607483	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus mutans 11SSST2	11SSST2	WP_002275430.1
148	CAACYI010000001.1	1558999	1601276	VFB16986.1	234708927	INSDC	Uncharacterized protein conserved in bacteria	Urinicoccus massiliensis	3012STDY7089603	VFB16986.1
155	NZ_AHST01000057.1	0	18370	WP_002298634.1	33623857	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus mutans ST6	ST6	WP_002298634.1
154	NZ_AHRR01000037.1	0	18493	WP_002277050.1	33609482	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus mutans 15VF2	15VF2	WP_002277050.1
156	NZ_JAVIUZ010000001.1	49974	94054	WP_002304487.1	33626025	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus mutans	P23BP3	WP_002304487.1
149	LR594035.1	1175545	1217432	VTS28147.1	249965353	INSDC	CRISPR-associated protein Cas9/Csn1, subtype II/NMEMI	Streptococcus pseudoporcinus	NCTC5385	VTS28147.1
147	LR134297.1	306784	349787	VEE76832.1	225510767	INSDC	CRISPR associated protein	Enterococcus hirae	NCTC12368	VEE76832.1
159	NZ_CP043405.1	1959884	2003997	WP_003088697.1	29531475	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus ratti	ATCC 31377	WP_003088697.1
164	NZ_KE136489.1	28671	72691	WP_010750235.1	35741349	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus villorum ATCC 700913	ATCC 700913	WP_010750235.1
158	NZ_AEUW02000001.1	825242	869259	WP_003079701.1	24352856	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus macacae NCTC 11558	NCTC 11558	WP_003079701.1
163	NZ_KB373321.1	0	34989	WP_009729476.1	31424549	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp. F0441	F0441	WP_009729476.1
162	NZ_LR134341.1	371327	415452	WP_007896501.1	25625244	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pseudoporcinus	NCTC13786	WP_007896501.1
165	NZ_KB946329.1	1257717	1301722	WP_010770040.1	35779367	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus phoeniculicola ATCC BAA-412	ATCC BAA-412	WP_010770040.1
161	NZ_GL622241.1	2020210	2064203	WP_007209003.1	21761271	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus italicus DSM 15952	DSM 15952	WP_007209003.1
157	NZ_CP054570.1	832901	876405	WP_002895385.1	22187146	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sanguinis	FDAARGOS_770	WP_002895385.1
168	NZ_KB904564.1	14815	59036	WP_018377631.1	38986529	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus ovis DSM 16829	DSM 16829	WP_018377631.1
166	NC_017576.1	1469110	1513226	WP_012962174.1	19412547	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143	ATCC 43143	WP_012962174.1
169	NZ_KB891973.1	759734	803925	WP_018543557.1	39164975	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus anginosus SK52 = DSM 20563	DSM 20563	WP_018543557.1
175	NZ_AUKZ01000017.1	0	26592	WP_027970237.1	55976459	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus castoreus DSM 17536	DSM 17536	WP_027970237.1
176	NZ_KE384085.1	2689	46952	WP_027976660.1	55982880	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus devriesei DSM 19639	DSM 19639	WP_027976660.1
160	NZ_CM001051.1	2714222	2756849	WP_003749665.1	21590080	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria seeligeri FSL N1-067	FSL N1-067	WP_003749665.1
177	NZ_AYYW01000057.1	0	29624	WP_029507330.1	57722871	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Ligilactobacillus animalis KCTC 3501 = DSM 20602	DSM 20602	WP_029507330.1
174	NZ_CABLCC010000009.1	6452	50415	WP_027090768.1	55036715	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Thomasclavelia saccharogumia		WP_027090768.1
180	NZ_ALXG01000030.1	8823	34898	WP_035421986.1	46970399	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus florum 8D	8D	WP_035421986.1
179	NZ_LT635493.1	363394	407402	WP_034440723.1	63474087	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Urinicoccus massiliensis	FC2	WP_034440723.1
167	NZ_UHFR01000005.1	503029	547091	WP_018372492.1	38981395	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus massiliensis	NCTC13765	WP_018372492.1
182	NZ_CEEL01000002.1	109533	153679	WP_044760923.1	77748554	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus suis	LS5Y	WP_044760923.1
184	NZ_JUNJ01000079.1	18789	44939	WP_048800889.1	85068532	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus constellatus	925_SCON	WP_048800889.1
187	NZ_JVFV01000043.1	60396	104527	WP_049531101.1	86257048	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pseudopneumoniae	469_SPSE	WP_049531101.1
183	NZ_CVRN01000007.1	563011	607004	WP_048604708.1	84787702	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus massiliensis	AM1	WP_048604708.1
189	NZ_JVBO01000016.1	18192	44714	WP_049554573.1	86280407	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Granulicatella sp. 572.rep1_STHE	572.rep1_STHE	WP_049554573.1
192	NZ_AYZI01000002.1	116498	160461	WP_056961411.1	97505289	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Fructilactobacillus florum DSM 22689 = JCM 16035	DSM 22689	WP_056961411.1
194	NZ_LAYF01000021.1	0	17315	WP_061587801.1	105651452	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus oralis	JPIIBV3	WP_061587801.1
188	NZ_CP183189.1	670858	715019	WP_049533112.1	86259024	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus anginosus	980/01	WP_049533112.1
193	NZ_AZEZ01000078.1	5650	35597	WP_057888291.1	97419684	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Companilactobacillus mindensis DSM 14500	DSM 14500	WP_057888291.1
190	NZ_WNIX01000001.1	1087529	1131663	WP_050197119.1	85452499	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus agalactiae	230	WP_050197119.1
195	NZ_LAWN01000002.1	366988	411245	WP_061593261.1	105655621	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus gordonii	PK488	WP_061593261.1
203	NZ_MKIR01000001.1	45748	89825	WP_070791099.1	120081531	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Floricoccus tropicus	DF1	WP_070791099.1
201	NZ_KQ969157.1	298530	342619	WP_067192512.1	105068184	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp. DD10	DD10	WP_067192512.1
200	NZ_CP014699.1	1176648	1220767	WP_067062573.1	109535435	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pantholopis	TA 26	WP_067062573.1
204	NZ_FNVY01000004.1	1093245	1137274	WP_071131842.1	125904546	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus timonensis	Marseille-P2817T	WP_071131842.1
199	NZ_JARFNM010000001.1	1278436	1322645	WP_066713970.1	103556002	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Amygdalobacter nucleatus	KA00274	WP_066713970.1
206	NZ_JBHLVS010000013.1	289730	333726	WP_071862060.1	129902795	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus devriesei	CCM 7299	WP_071862060.1
205	NZ_CP017267.1	654375	698383	WP_071456514.1	128723516	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus teuberi	DSM 21459	WP_071456514.1
210	NZ_FNJK01000001.1	226560	270709	WP_074481527.1	122854453	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus equinus	Sb04	WP_074481527.1
211	NZ_FMXP01000003.1	0	40071	WP_074484960.1	122899166	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus henryi	A-4	WP_074484960.1
213	NZ_MSJM01000001.1	234543	278656	WP_075103982.1	134545453	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus cuniculi	CCUG 65085	WP_075103982.1
214	NZ_MOWR01000006.1	26659	70691	WP_075346866.1	134890353	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp. 'caviae'	Cavy grass 6	WP_075346866.1
217	NZ_NCUF01000007.1	89953	124784	WP_084940391.1	147200062	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus oralis subsp. tigurinus	OD_326128_08	WP_084940391.1
215	NZ_CABMMO010000002.1	17568	61561	WP_077151192.1	137627337	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus mundtii		WP_077151192.1
219	NZ_DPZI01000013.1	0	27945	WP_086950450.1	148286918	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus sp.		WP_086950450.1
220	NZ_FYBO01000002.1	113288	157284	WP_088838826.1	153746899	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria sp. ILCC792	ILCC792	WP_088838826.1
221	NZ_FOWN01000004.1	103442	139371	WP_089800158.1	127082867	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Halolactibacillus alkaliphilus	CGMCC 1.6843	WP_089800158.1
222	NZ_FPAI01000011.1	48120	92049	WP_089854321.1	127161218	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Halolactibacillus miurensis	DSM 17074	WP_089854321.1
223	NZ_FMYI01000002.1	337684	381698	WP_090793453.1	122894572	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Pelagirhabdus alkalitolerans	S5	WP_090793453.1
216	NZ_CP019609.1	982014	1026013	WP_077275696.1	137870530	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus penaei	CD276T	WP_077275696.1
225	NZ_NSGR01000008.1	460800	504907	WP_096633625.1	161391634	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus parauberis	SP158-29	WP_096633625.1
224	NZ_CTEN01000002.1	217749	261835	WP_093650272.1	80660845	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus varani	FF10	WP_093650272.1
202	NZ_JBHRXB010000001.1	607236	651553	WP_069699600.1	118899021	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus rivorum	CCM 7986	WP_069699600.1
231	NZ_JAFFHN010000009.1	0	31721	WP_105139793.1	181311583	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus suis	K364	WP_105139793.1
232	NZ_QJJR01000004.1	186254	230280	WP_110251082.1	189743116	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptohalobacillus salinus	DSM 22440	WP_110251082.1
234	NZ_NAQU01000005.1	208834	235259	WP_111949366.1	194037100	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Dolosigranulum pigrum	KPL1932_CDC4420-98	WP_111949366.1
229	NZ_OZ061411.1	1094104	1138214	WP_099947667.1	168767576	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Latilactobacillus sakei		WP_099947667.1
233	NZ_LS483408.1	1083583	1127693	WP_111673267.1	192425125	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus uberis	NCTC4674	WP_111673267.1
237	NZ_QTVR01000014.1	74120	100255	WP_117814294.1	202188436	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Blautia sp. OF03-13	OF03-13	WP_117814294.1
235	NZ_UHHR01000001.1	1153415	1197612	WP_115255320.1	198383170	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus equinus	NCTC10386	WP_115255320.1
239	NZ_CP022680.1	1928297	1972410	WP_119877030.1	211478450	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus respiraculi	HTS25	WP_119877030.1
243	NZ_PXZH01000003.1	17861	61869	WP_125943489.1	224977569	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus humatus	JCM 31581	WP_125943489.1
236	NZ_CP031733.1	971073	1015354	WP_116877370.1	186885891	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus chenjunshii	Z15	WP_116877370.1
244	NZ_NGJS01000003.1	65105	109119	WP_125983336.1	224987132	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus vulneris	SS1995	WP_125983336.1
218	NZ_CP147247.1	3284241	3328255	WP_086350882.1	149354634	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Candidatus Enterococcus clewellii	9E7_DIV0242	WP_086350882.1
238	NZ_CP031513.1	1094164	1138142	WP_118908584.1	207738288	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Bombilactobacillus bombi	BI-2.5	WP_118908584.1
248	NZ_CAAHJU010000007.1	63933	88784	WP_136019816.1	243712205	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pyogenes	A1152	WP_136019816.1
246	NZ_SDMH01000001.1	220120	264224	WP_129284051.1	230763865	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus pyogenes	SC18	WP_129284051.1
249	NZ_SDGV01000031.1	25654	57578	WP_136137796.1	244338074	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus silagei	2B-2	WP_136137796.1
250	NZ_VCAP01000004.1	85223	129225	WP_138421157.1	250879367	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Vagococcus zengguangii	MN-09	WP_138421157.1
251	NZ_CP061025.1	1397015	1441185	WP_138496510.1	250980757	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus thermophilus	13496	WP_138496510.1
257	NZ_QICB01000007.1	40883	85008	WP_148039659.1	268616324	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Slackia faecicanis	DSM 17537	WP_148039659.1
252	NZ_CAAKNX010000103.1	55877	99885	WP_142447318.1	260373127	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus avium		WP_142447318.1
258	NZ_CABIZE010000001.1	156921	201043	WP_148524931.1	269617462	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus lutetiensis		WP_148524931.1
253	NZ_CABGJV010000004.1	38691	82711	WP_142959334.1	260835439	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Enterococcus faecalis	4928STDY7071548	WP_142959334.1
245	NZ_LR134094.1	1237820	1281915	WP_126426708.1	225387743	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus dysgalactiae subsp. dysgalactiae	NCTC4669	WP_126426708.1
247	NZ_AP018726.1	887099	931203	WP_129555603.1	195074594	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus dysgalactiae	Kdys0611	WP_129555603.1
254	NZ_CP041626.1	776441	820440	WP_143333305.1	260988751	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Dolosigranulum pigrum	83VPs-KB5	WP_143333305.1
255	NZ_CABEHX010000001.1	1153288	1197410	WP_143927572.1	251467588	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus dysgalactiae subsp. equisimilis	NCTC6407	WP_143927572.1
259	NZ_WVER01000012.1	8421	52435	WP_149256267.1	270621447	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Carnobacterium sp. PL24RED07	PL24RED07	WP_149256267.1
260	NZ_CP072115.1	414893	459012	WP_154632444.1	281580379	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus zhangguiae	zg-86	WP_154632444.1
264	NZ_BCEZ01000063.1	16293	60325	WP_156010052.1	283963055	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus ruminantium	DAT837	WP_156010052.1
265	NZ_WLZF01000001.1	197274	227688	WP_159591618.1	291832633	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus halichoeri	P399	WP_159591618.1
266	NZ_CACVCC010000011.1	578	44691	WP_162011508.1	296536997	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp. S784/96/1		WP_162011508.1
271	NZ_JAATJW010000020.1	0	39314	WP_167629302.1	311966842	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria valentina	CLIP 2019/00642	WP_167629302.1
269	NZ_LR760298.1	773730	817717	WP_163653130.1	302110660	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria sp. PSOL-1	Marseille-P4284	WP_163653130.1
275	NZ_CADEHI010000001.1	236609	280677	WP_174720700.1	330847848	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus periodonticum	Marseille-P9010	WP_174720700.1
273	NZ_QYCB01000001.1	289327	333596	WP_168745320.1	316739933	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus mutans	UAB-18	WP_168745320.1
270	NZ_JAAKGB010000001.1	1556473	1600613	WP_164683517.1	303695342	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus hyointestinalis	B19	WP_164683517.1
274	NZ_BLMI01000177.1	0	25795	WP_172472717.1	310343264	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Thomasclavelia cocleata		WP_172472717.1
277	NZ_SCHP01000007.1	41395	68086	WP_181189561.1	342617526	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Bombilactobacillus bombi	XV6	WP_181189561.1
278	NZ_JAASTQ010000003.1	322161	354383	WP_185360443.1	351654109	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria innocua	FSL L7-1743	WP_185360443.1
276	NZ_CP058666.1	1597608	1641721	WP_179862421.1	340629449	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus agalactiae	S9968	WP_179862421.1
267	NZ_AP019309.1	3145868	3189864	WP_162300217.1	217877893	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Intestinibaculum porci	SG0102	WP_162300217.1
281	NZ_JAARXN010000003.1	457330	489856	WP_185560007.1	351773130	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria marthii	FSL L7-0329	WP_185560007.1
279	NZ_JAASUI010000002.1	466771	499068	WP_185391972.1	351671633	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Listeria cossartiae subsp. cossartiae	FSL L7-1447	WP_185391972.1
272	NZ_CP051144.1	1318401	1362355	WP_168573229.1	313519835	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Romboutsia sp. CE17	CE17	WP_168573229.1
288	NZ_JADNQT010000008.1	34609	76004	WP_195675795.1	375230285	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus sp. HF-1907	HF-1907	WP_195675795.1
287	NZ_JADNLY010000002.1	293070	337162	WP_195435480.1	375109479	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus salivarius	1001713B170131_170501_D3	WP_195435480.1
284	NZ_CP017194.1	729243	773392	WP_191245689.1	259130683	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Pseudolactococcus carnosus	TMW 2.1612	WP_191245689.1
286	NZ_VDFP01000003.1	53801	97875	WP_192917937.1	366158443	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Companilactobacillus halodurans	TMW 1.2172	WP_192917937.1
292	NZ_JBHTJB010000004.1	0	40143	WP_205017126.1	409739407	RefSeq	type II CRISPR RNA-guided endonuclease Cas9	Streptococcus saliviloxodontae	CCUG 70866	WP_205017126.1
