domain_id	Accession_pfam	Clan_pfam	Function_pfam	alignment_length	bit_score
N_methyl	PF07963		Prokaryotic N-terminal methylation motif	27.0	32.84
PSP1_3rd	PF28472		PSP1-like protein, third domain	67.0	58.93
Put_DNA-bind_N	PF06971	CL0123	Putative DNA-binding protein N-terminus	49.0	68.3
Antibiotic_NAT	PF02522	CL0627	Aminoglycoside 3-N-acetyltransferase	233.0	253.19
RecR_C	PF21175		RecR, C-terminal	24.0	40.36
Lyase_8	PF02278	CL0103	Polysaccharide lyase family 8, super-sandwich domain	285.0	221.79
Ribosomal_S8	PF00410		Ribosomal protein S8	128.0	178.84
G3P_acyltransf	PF02660		Glycerol-3-phosphate acyltransferase	183.0	178.85
DUF2130	PF09903		Uncharacterized protein conserved in bacteria (DUF2130)	262.0	231.65
GST_N_3	PF13417	CL0172	Glutathione S-transferase, N-terminal domain	73.0	38.6
PP_kinase	PF02503	CL0764	Polyphosphate kinase middle domain	201.0	170.51
Sortase	PF04203		Sortase domain	171.0	35.72
Competence	PF03772		Competence protein	243.0	95.28
PAP2	PF01569	CL0525	PAP2 superfamily	118.0	87.27
HTH_20	PF12840	CL0123	Helix-turn-helix domain	50.0	55.07
DUF2252	PF10009	CL0016	Uncharacterized protein conserved in bacteria (DUF2252)	391.0	358.36
HMG_CoA_synt_N	PF01154	CL0046	Hydroxymethylglutaryl-coenzyme A synthase N terminal	167.0	51.57
MurB_C	PF02873		UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain	100.0	117.11
YlmH_1st	PF21278		YlmH, N-terminal	68.0	35.95
DUF975	PF06161	CL0855	Protein of unknown function (DUF975)	290.0	114.28
DUF2207_C	PF20990		Predicted membrane protein (DUF2207) C-terminal domain	257.0	132.42
PglD_N	PF17836	CL0063	PglD N-terminal domain	78.0	46.61
SUKH_5	PF14567	CL0526	SMI1-KNR4 cell-wall	129.0	82.37
ATP-synt_B	PF00430	CL0255	ATP synthase B/B' CF(0)	131.0	97.24
GKRP_SIS_N	PF22645	CL0067	Glucokinase regulatory protein N-terminal SIS domain	109.0	64.31
PspC	PF04024		PspC domain	58.0	61.44
DAGK_cat	PF00781	CL0240	Diacylglycerol kinase catalytic domain	128.0	68.98
CtpB_N-like	PF22694		Activating protease CtpB N-terminal domain	73.0	55.09
ANT	PF03374		Phage antirepressor protein KilAC domain	109.0	85.89
BNR	PF02012	CL0186	BNR/Asp-box repeat	12.0	7.9
Peptidase_M20	PF01546	CL0865	Peptidase family M20/M25/M40	386.0	106.24
ADH_zinc_N_2	PF13602	CL0063	Zinc-binding dehydrogenase	128.0	60.13
NAD_synthase	PF02540	CL0039	NAD synthase	239.0	96.36
LacAB_rpiB	PF02502		Ribose/Galactose Isomerase	139.0	159.69
DUF1366	PF07104		Protein of unknown function (DUF1366)	131.0	41.73
FeoA	PF04023	CL0010	FeoA domain	73.0	74.96
JetA	PF18982		Wadjet protein JetA	420.0	361.95
PFL-like	PF02901	CL0339	Pyruvate formate lyase-like	656.0	707.5
RNR_N	PF08343		Ribonucleotide reductase N-terminal	81.0	91.87
Regulator_TrmB	PF11495	CL0479	Archaeal transcriptional regulator TrmB	149.0	24.08
Mucin_bdg	PF03272		Putative mucin or carbohydrate-binding module	117.0	58.1
OsmC	PF02566		OsmC-like protein	91.0	27.07
HATPase_c	PF02518	CL0025	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	97.0	30.88
Acyl-ACP_TE	PF01643	CL0050	Acyl-ACP thioesterase N-terminal domain	131.0	168.91
ApbE	PF02424		ApbE family	281.0	248.88
ACT_6	PF13740	CL0070	ACT domain	78.0	50.53
TPK_B1_binding	PF04265		Thiamin pyrophosphokinase, vitamin B1 binding domain	66.0	42.11
ArAE_1	PF06081	CL0307	Aromatic acid exporter family member 1	141.0	121.03
EVE	PF01878	CL0178	EVE domain	117.0	38.35
NAPRTase_C	PF17956		Nicotinate phosphoribosyltransferase C-terminal domain	111.0	115.88
ODP	PF19583	CL0381	ODP family beta lactamase	198.0	70.15
Ldh_1_C	PF02866	CL0341	lactate/malate dehydrogenase, alpha/beta C-terminal domain	157.0	72.23
CbiX	PF01903	CL0043	CbiX	102.0	47.89
LrgA	PF03788		LrgA family	94.0	99.78
DUF3958	PF13125		Protein of unknown function (DUF3958)	105.0	34.42
Fer4_8	PF13183	CL0344	4Fe-4S dicluster domain	62.0	30.39
RDD	PF06271		RDD family	156.0	33.63
GATase_3	PF07685	CL0014	CobB/CobQ-like glutamine amidotransferase domain	197.0	161.48
DUF1641	PF07849		Protein of unknown function (DUF1641)	39.0	49.71
Ribosomal_L21p	PF00829		Ribosomal prokaryotic L21 protein	100.0	134.26
DUF4811	PF16069		Domain of unknown function (DUF4811)	155.0	157.41
GDP_Man_Dehyd	PF16363	CL0063	GDP-mannose 4,6 dehydratase	321.0	198.51
YidD	PF01809		Putative membrane protein insertion efficiency factor	67.0	113.09
GramPos_pilinD1	PF16555	CL0287	Gram-positive pilin subunit D1, N-terminal domain	152.0	17.03
ACT_AHAS_ss	PF22629	CL0070	AHAS small subunit-like ACT domain	68.0	73.08
Fer4_20	PF14691	CL0344	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster	119.0	67.74
Phage_CI_repr	PF07022	CL0123	Bacteriophage CI repressor helix-turn-helix domain	58.0	25.41
Polysacc_deac_1	PF01522	CL0158	Polysaccharide deacetylase	124.0	123.42
Cas_Csm6_HEPN	PF09659	CL0291	Cas_Csm6 HEPN domain	180.0	181.01
Polysacc_syn_2C	PF08485	CL0063	Polysaccharide biosynthesis protein C-terminal	48.0	68.96
ABC2_membrane_5	PF13346	CL0181	ABC-2 family transporter protein	206.0	37.55
WYL	PF13280	CL0654	WYL domain	74.0	24.16
DUF3270	PF11674		Protein of unknown function (DUF3270)	83.0	94.26
RNA_pol_L	PF01193	CL0509	RNA polymerase Rpb3/Rpb11 dimerisation domain	196.0	89.66
Terminase_2	PF03592		Terminase small subunit	123.0	83.01
VTC	PF09359	CL0273	VTC domain	229.0	165.46
Fe_hyd_lg_C	PF02906		Iron only hydrogenase large subunit, C-terminal domain	292.0	342.68
Oxidored_q2	PF00420		NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	111.0	81.4
TehB	PF03848	CL0063	Tellurite resistance protein TehB	193.0	289.9
RlmN_N	PF21016	CL0198	Ribosomal RNA large subunit methyltransferase N-terminal domain	60.0	69.26
Bac_transf	PF02397		Bacterial sugar transferase	181.0	233.54
PrsW-protease	PF13367	CL0472	PrsW family intramembrane metalloprotease	193.0	74.05
FGGY_C	PF02782	CL0108	FGGY family of carbohydrate kinases, C-terminal domain	191.0	154.5
Fer2_BFD	PF04324	CL0667	BFD-like [2Fe-2S] binding domain	51.0	61.71
FtsJ	PF01728	CL0063	FtsJ-like methyltransferase	185.0	132.58
Methyltr_RsmB-F	PF01189	CL0063	16S rRNA methyltransferase RsmB/F	183.0	181.17
Peptidase_M3	PF01432	CL0126	Peptidase family M3	386.0	80.63
NAD_binding_8	PF13450	CL0063	NAD(P)-binding Rossmann-like domain	67.0	73.41
KdpA	PF03814	CL0030	Potassium-transporting ATPase A subunit	64.0	60.02
TehB-like	PF09313	CL0029	TehB-like domain	81.0	94.92
Molydop_binding	PF01568	CL0199	Molydopterin dinucleotide binding domain	109.0	74.29
NIR_SIR_ferr	PF03460		Nitrite/Sulfite reductase ferredoxin-like half domain	67.0	57.12
Adhesin_P1_N	PF18652		Adhesin P1 N-terminal domain	428.0	10.73
Fer4_9	PF13187	CL0344	4Fe-4S dicluster domain	96.0	18.04
PolyA_pol_RNAbd	PF12627		Probable RNA and SrmB- binding site of polymerase A	61.0	49.62
PUA_3	PF17785	CL0178	PUA-like domain	61.0	45.66
Amidohydro_1	PF01979	CL0036	Amidohydrolase family	349.0	241.26
YjiV_N	PF27116		YjiV N-terminal domain	132.0	42.25
FAD_binding_2	PF00890	CL0063	FAD binding domain	459.0	149.82
Peptidase_S26	PF10502	CL0299	Signal peptidase, peptidase S26	87.0	28.54
Sugar-bind	PF04198	CL0063	Putative sugar-binding domain	255.0	245.08
FeoB_associated	PF12669		FeoB-associated Cys-rich membrane protein	41.0	31.52
Oxidored_FMN	PF00724	CL0036	NADH:flavin oxidoreductase / NADH oxidase family	330.0	241.93
Ribul_P_3_epim	PF00834	CL0036	Ribulose-phosphate 3 epimerase family	198.0	235.7
CitMHS	PF03600	CL0182	Citrate transporter	398.0	77.58
Pyrophosphatase	PF00719		Inorganic pyrophosphatase	100.0	33.45
Alpha-amylase	PF00128	CL0036	Alpha amylase, catalytic domain	454.0	585.14
TspO_MBR	PF03073		TspO/MBR family	142.0	142.53
Lactamase_B_3	PF13483	CL0381	Beta-lactamase superfamily domain	192.0	85.97
Desulfoferrodox	PF01880	CL0159	Desulfoferrodoxin	87.0	74.47
TPM_phosphatase	PF04536	CL0063	TPM domain	124.0	91.81
DUF2316	PF10078	CL0123	Uncharacterized protein conserved in bacteria (DUF2316)	87.0	85.6
ACPS	PF01648	CL0670	4'-phosphopantetheinyl transferase superfamily	112.0	64.19
DMT_YdcZ	PF04657	CL0184	Putative inner membrane exporter, YdcZ	137.0	126.08
Sigma_reg_N	PF13800		Sigma factor regulator N-terminal	90.0	47.46
GtrA_DPMS_TM	PF04138		GtrA/DPMS, transmembrane domain	127.0	70.93
Hexapep_2	PF14602	CL0536	Hexapeptide repeat of succinyl-transferase	36.0	43.56
Rotamase_2	PF13145	CL0487	PPIC-type PPIASE domain	123.0	37.84
AlkZ-like	PF06224	CL0123	DNA glycosylase AlkZ-like	321.0	124.93
Sigma70_r1_2	PF00140		Sigma-70 factor, region 1.2	34.0	50.74
GFO_IDH_MocA_C3	PF22725	CL0139	GFO/IDH/MocA C-terminal domain	122.0	74.09
Thymidylate_kin	PF02223	CL0023	Thymidylate kinase	192.0	176.96
Resolvase	PF00239		Resolvase, N terminal domain	150.0	133.2
Ribosomal_L5	PF00281	CL0652	Ribosomal protein L5	57.0	95.56
tyr_de_CO2_C	PF21391	CL0061	Tyrosine decarboxylase, C-terminal	141.0	195.57
Glyco_hydro_31_2nd	PF01055	CL0036	Glycosyl hydrolases family 31 TIM-barrel domain	316.0	325.71
HlyIII	PF03006	CL0192	Haemolysin-III related	207.0	163.3
ADDB_N	PF21445	CL0023	ADDB, N-terminal	260.0	90.42
CTP_transf_3	PF02348	CL0110	Cytidylyltransferase	249.0	119.23
RVT_1	PF00078	CL0027	Reverse transcriptase (RNA-dependent DNA polymerase)	206.0	40.2
GAF_PdtaS	PF12282	CL0161	Histidine kinase PdtaS, GAF domain	142.0	92.8
AAA_5	PF07728	CL0023	AAA domain (dynein-related subfamily)	186.0	36.32
Thiolase_C	PF02803	CL0046	Thiolase, C-terminal domain	123.0	172.74
HK	PF02110	CL0118	Hydroxyethylthiazole kinase family	255.0	165.11
DUF1453	PF07301		CcdC protein	134.0	27.29
AEP-TOTE	PF22548	CL0243	TOTE conflict system, Archaeo-Eukaryotic Primase domain	228.0	239.72
HTH_PafC	PF19187	CL0123	PafC helix-turn-helix domain	107.0	22.98
RsgA_N	PF16745	CL0021	RsgA N-terminal domain	47.0	75.17
FrhB_FdhB_C	PF04432		Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus	72.0	36.02
ApbA_C	PF08546	CL0106	Ketopantoate reductase PanE/ApbA C terminal	128.0	98.68
Asp_Glu_race	PF01177	CL0399	Asp/Glu/Hydantoin racemase	220.0	137.15
MucBP	PF06458	CL0072	MucBP domain	126.0	67.01
DUF3737	PF12541	CL0268	Protein of unknown function (DUF3737)	275.0	396.12
PHP	PF02811	CL0036	PHP domain	184.0	29.05
MbhD	PF13244		MBH, subunit D	67.0	80.78
Aldolase_II	PF00596	CL0898	Class II Aldolase and Adducin N-terminal domain	227.0	96.94
ETF_alpha	PF00766	CL0063	Electron transfer flavoprotein FAD-binding domain	79.0	77.7
DUF7830	PF25169	CL0888	Domain of unknown function (DUF7830)	59.0	26.38
AIRC	PF00731	CL0224	AIR carboxylase	144.0	183.13
DDR	PF08841	CL0108	Diol dehydratase reactivase ATPase-like domain	328.0	543.55
TGT	PF01702	CL0036	Queuine tRNA-ribosyltransferase	360.0	540.89
DUF1664	PF07889		Protein of unknown function (DUF1664)	113.0	13.31
Peptidase_C1_2	PF03051	CL0125	Peptidase C1-like family	437.0	665.77
GIY-YIG	PF01541	CL0418	GIY-YIG catalytic domain	76.0	38.07
Lon_C	PF05362	CL0329	Lon protease (S16) C-terminal proteolytic domain	129.0	29.24
EutN_CcmL	PF03319	CL0021	Ethanolamine utilisation protein EutN/carboxysome	86.0	93.51
DUF624	PF04854		Protein of unknown function, DUF624	76.0	34.75
PriA_3primeBD	PF17764		3'DNA-binding domain (3'BD)	104.0	54.89
ATP-grasp	PF02222	CL0179	ATP-grasp domain	174.0	158.11
GMP_synt_C	PF00958		GMP synthase C terminal domain	92.0	147.07
YjzC	PF14168		YjzC-like protein	54.0	45.75
PLDc_2	PF13091	CL0479	PLD-like domain	131.0	44.04
Ribonuc_red_sm	PF00268	CL0044	Ribonucleotide reductase, small chain	273.0	309.11
tRNA_m1G_MT	PF01746	CL0098	tRNA (Guanine-1)-methyltransferase TrmD	220.0	304.95
Rubredoxin_C	PF18267	CL0608	Rubredoxin NAD+ reductase C-terminal domain	69.0	65.31
GDPD	PF03009	CL0036	Glycerophosphoryl diester phosphodiesterase family	221.0	95.53
OTCace	PF00185	CL0063	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain	158.0	167.55
DUF87	PF01935	CL0023	Helicase HerA, central domain	240.0	39.59
CTP_transf_like	PF01467	CL0039	Cytidylyltransferase-like	131.0	76.25
MrpF_PhaF	PF04066		Multiple resistance and pH regulation protein F (MrpF / PhaF)	53.0	66.24
Chromate_transp	PF02417		Chromate transporter	183.0	134.61
Cyclase	PF04199	CL0364	Putative cyclase	167.0	131.51
HisG	PF01634	CL0177	ATP phosphoribosyltransferase	154.0	178.87
FeoB_Cyto	PF17910		FeoB cytosolic helical domain	89.0	73.36
Cas9_PI	PF16595		PAM-interacting domain of CRISPR-associated endonuclease Cas9	246.0	160.62
DUF3799	PF12684	CL0236	PDDEXK-like domain of unknown function (DUF3799)	235.0	274.89
Glyco_hydro_18	PF00704	CL0036	Glycosyl hydrolases family 18	320.0	56.77
SdrD_B	PF17210	CL0287	SdrD B-like domain	372.0	101.36
OSCP	PF00213	CL0255	ATP synthase delta (OSCP) subunit	171.0	170.33
PAPS_reduct	PF01507	CL0039	Phosphoadenosine phosphosulfate reductase domain	183.0	119.04
TMEM175	PF06736		Endosomal/lysosomal potassium channel TMEM175	85.0	96.08
PDZ_2	PF13180	CL0466	PDZ domain	87.0	44.33
GTP_EFTU_D3	PF03143	CL0740	Elongation factor Tu C-terminal domain	96.0	129.77
Lant_dehydr_N	PF04738		Lantibiotic dehydratase, N terminus	286.0	25.0
Ribosomal_L7Ae	PF01248	CL0101	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family	92.0	48.77
GATase_5	PF13507	CL0014	CobB/CobQ-like glutamine amidotransferase domain	158.0	37.7
ABC_membrane	PF00664	CL0241	ABC transporter transmembrane region	283.0	146.15
Thioredoxin_3	PF13192	CL0172	Thioredoxin domain	76.0	88.93
LbH_EIF2B	PF25084	CL0536	EIF2B subunit epsilon LbH domain	191.0	28.08
ASD1_dom	PF22848	CL0369	Alpha-L-arabinofuranosidase 1 domain	194.0	76.59
RuvC_III	PF18541	CL0219	RuvC endonuclease subdomain 3	143.0	42.28
DUF7649	PF24661		Domain of unknown function (DUF7649)	85.0	64.73
SpoU_methylase	PF00588	CL0098	SpoU rRNA Methylase family	144.0	104.24
HNH	PF01844	CL0263	HNH endonuclease	52.0	38.66
FAD_binding_4	PF01565	CL0077	FAD binding domain	131.0	87.67
PDU_like	PF15953		Putative propanediol utilisation	154.0	169.15
ArAE_1_C	PF11728		Putative aromatic acid exporter C-terminal domain	165.0	155.95
Glyco_transf_4	PF13439	CL0113	Glycosyltransferase Family 4	159.0	38.57
CitX	PF03802		Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	166.0	140.33
Cob_adeno_trans	PF01923	CL0601	Cobalamin adenosyltransferase	163.0	195.37
tRNA-synt_2c	PF01411	CL0040	tRNA synthetases class II (A)	85.0	50.42
dCMP_cyt_deam_1	PF00383	CL0109	Cytidine and deoxycytidylate deaminase zinc-binding region	116.0	96.4
DUF4956	PF16316		Domain of unknown function (DUF4956)	164.0	58.04
YajQ	PF04461		Nucleotide-binding protein YajQ-like	159.0	205.7
DNA_photolyase	PF00875	CL0039	DNA photolyase	165.0	112.77
UvrB_3rd	PF27431		UvrB third helical domain	49.0	82.3
HrcA	PF01628	CL0161	HrcA protein C terminal domain	219.0	98.72
Mbeg1-like	PF11187	CL0028	Mbeg1-like	225.0	299.53
Glyco_hydro_31_3rd	PF21365	CL0369	Glycosyl hydrolase family 31 C-terminal domain	88.0	77.02
CPSase_sm_chain	PF00988	CL0364	Carbamoyl-phosphate synthase small chain, CPSase domain	126.0	167.84
ADH_zinc_N	PF00107	CL0063	Zinc-binding dehydrogenase	156.0	27.53
3HCDH	PF00725	CL0106	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	97.0	118.29
GCS2	PF04107	CL0286	Glutamate-cysteine ligase family 2(GCS2)	399.0	48.37
PDDEXK_2	PF12784	CL0236	PD-(D/E)XK nuclease family transposase	230.0	92.58
PNPOx_N	PF01243	CL0336	Pyridoxamine 5'-phosphate oxidase	120.0	25.57
DUF1980	PF09323		DUF1980 N-terminal domain	101.0	115.8
SpuA_C	PF18033	CL0369	SpuA C-terminal	97.0	102.71
Fer4_7	PF12838	CL0344	4Fe-4S dicluster domain	44.0	27.81
LPG_synthase_TM	PF03706		Lysylphosphatidylglycerol synthase TM region	316.0	140.95
HSDR_N	PF04313	CL0236	Type I restriction enzyme R protein N terminus (HSDR_N)	202.0	144.85
UTRA	PF07702	CL0122	UTRA domain	139.0	133.29
Pyridoxal_deC	PF00282	CL0061	Pyridoxal-dependent decarboxylase conserved domain	130.0	56.31
DDE_Tnp_IS66_C	PF13817		IS66 C-terminal element	37.0	25.03
GreA_GreB_N	PF03449		Transcription elongation factor, N-terminal	71.0	87.71
TatA_B_E	PF02416		mttA/Hcf106 family	48.0	49.72
DNA_pol3_delta2	PF13177	CL0023	DNA polymerase III, delta subunit	160.0	158.72
Cas9_PI2	PF18070		CRISPR-Cas9 PI domain	61.0	75.56
Fe-ADH	PF00465	CL0224	Iron-containing alcohol dehydrogenase	179.0	159.28
Met_gamma_lyase	PF06838	CL0061	Methionine gamma-lyase	406.0	516.79
ABC2_membrane_4	PF12730	CL0181	ABC-2 family transporter protein	180.0	38.69
ETF	PF01012	CL0039	Electron transfer flavoprotein domain	171.0	82.52
Seryl_tRNA_N	PF02403	CL0298	Seryl-tRNA synthetase N-terminal domain	112.0	81.85
Ribosomal_S13	PF00416	CL0303	Ribosomal protein S13/S18	106.0	115.64
HGTP_anticodon	PF03129	CL0458	Anticodon binding domain	92.0	85.08
LysM	PF01476	CL0187	LysM domain	44.0	49.5
GXGXG	PF01493		GXGXG motif	249.0	328.27
RsmF-B_ferredox	PF22458	CL0795	Methyltr_RsmF/B-like, ferredoxin-like domain	62.0	43.46
YCII	PF03795	CL0032	YCII-related domain	85.0	34.47
Ribosomal_L31	PF01197	CL0758	Ribosomal protein L31	78.0	97.84
Glyco_transf_21	PF13506	CL0110	Glycosyl transferase family 21	371.0	53.08
MafB19-deam	PF14437	CL0109	MafB19-like deaminase	150.0	93.24
Thioredoxin	PF00085	CL0172	Thioredoxin	97.0	36.18
Ribonuclease_P	PF00825	CL0329	Ribonuclease P	108.0	92.89
EIID-AGA	PF03613		PTS system mannose/fructose/sorbose family IID component	268.0	284.62
Hpr_kinase_C	PF07475	CL0374	HPr Serine kinase C-terminal domain	171.0	236.2
DUF6110	PF19605		Family of unknown function (DUF6110)	79.0	53.83
Fer4_5	PF12801	CL0344	4Fe-4S binding domain	113.0	23.22
eIF-1a	PF01176	CL0021	Translation initiation factor 1A / IF-1	64.0	97.81
tRNA-synt_2d	PF01409	CL0040	tRNA synthetases class II core domain (F)	251.0	361.28
HTH_ParB	PF17762	CL0123	ParB HTH domain	101.0	117.47
PgdA_N	PF18627		Peptidoglycan GlcNAc deacetylase N-terminal domain	215.0	70.06
BacA	PF02673	CL0292	Bacitracin resistance protein BacA	260.0	291.54
TIM	PF00121	CL0036	Triosephosphate isomerase	247.0	324.85
DUF772	PF05598		Transposase domain (DUF772)	64.0	62.99
MnhB	PF04039		Domain related to MnhB subunit of Na+/H+ antiporter	127.0	98.66
Transposase_20	PF02371	CL0198	Transposase IS116/IS110/IS902 family	91.0	72.67
DDE_3	PF13358	CL0219	DDE superfamily endonuclease	35.0	31.77
QueH	PF02677	CL0039	Epoxyqueuosine reductase QueH	182.0	207.28
ELFV_dehydrog_N	PF02812	CL0603	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	129.0	175.15
Kinase-PPPase	PF03618	CL0023	Kinase/pyrophosphorylase	256.0	314.82
MazE_antitoxin_C	PF27083		MazE/EndoAI antitoxin, C-terminal domain	33.0	26.17
AA_kinase	PF00696		Amino acid kinase family	208.0	124.95
Transketolase_C	PF02780	CL0591	Transketolase, C-terminal domain	124.0	140.01
NADase_transloc	PF25302	CL0202	NAD glycohydrolase translocation F5/8 type C domain	146.0	141.63
CdaA_N	PF19293		CdaA N-terminal transmembrane domain	76.0	28.32
Ribosomal_L11_N	PF03946		Ribosomal protein L11, N-terminal domain	58.0	101.67
NADase_NGA	PF07461	CL0084	NAD glycohydrolase catalytic domain	198.0	378.52
Lactamase_B_2	PF12706	CL0381	Beta-lactamase superfamily domain	91.0	23.96
DUF11	PF01345	CL0159	Domain of unknown function DUF11	251.0	20.17
RsaX20	PF28144		RsaX20-like	32.0	59.91
Ribosomal_TL5_C	PF14693		Ribosomal protein TL5, C-terminal domain	84.0	84.34
DnaB	PF00772	CL0929	DnaB-like helicase N terminal domain	103.0	111.38
BRCT	PF00533	CL0459	BRCA1 C Terminus (BRCT) domain	87.0	43.03
RNase_PH_C	PF03725		3' exoribonuclease family, domain 2	67.0	34.48
T6SS_VipA	PF05591		Type VI secretion system, VipA, VC_A0107 or Hcp2	125.0	27.6
DUF554	PF04474		Protein of unknown function (DUF554)	230.0	203.6
ATP-synt_C	PF00137		ATP synthase subunit C	64.0	66.7
HTH_Crp_2	PF13545	CL0123	Crp-like helix-turn-helix domain	65.0	36.74
GMPPB_C	PF25087	CL0536	GMPPB C-terminal domain	181.0	19.44
RimP_N	PF02576		RimP N-terminal domain	75.0	95.78
PTS_EIIC_2	PF13303	CL0493	Phosphotransferase system, EIIC	334.0	345.75
DUF7065	PF23213	CL0116	Domain of unknown function (DUF7065)	159.0	26.52
RecQ_Zn_bind	PF16124		RecQ zinc-binding	68.0	27.4
A_deaminase	PF00962	CL0036	Adenosine deaminase	325.0	247.17
Hydrolase	PF00702	CL0137	haloacid dehalogenase-like hydrolase	216.0	62.56
MS_channel_3rd	PF21082	CL0875	Mechanosensitive ion channel MscS, C-terminal	92.0	25.37
Glyco_tran_28_C	PF04101	CL0113	Glycosyltransferase family 28 C-terminal domain	160.0	109.62
TPP_enzyme_N	PF02776	CL0254	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain	118.0	147.34
Nuc_deoxyrib_tr	PF05014	CL0498	Nucleoside 2-deoxyribosyltransferase	123.0	82.81
DUF1934	PF09148	CL0116	Domain of unknown function (DUF1934)	123.0	76.2
DEAD	PF00270	CL0023	DEAD/DEAH box helicase	165.0	89.61
Ribosomal_L11	PF00298		Ribosomal protein L11, RNA binding domain	69.0	112.01
DLH	PF01738	CL0028	Dienelactone hydrolase family	188.0	64.98
Polysacc_synt_2	PF02719	CL0063	Polysaccharide biosynthesis protein	191.0	236.34
Aldo_ket_red	PF00248	CL0036	Aldo/keto reductase family	246.0	188.04
Peripla_BP_6	PF13458	CL0144	Periplasmic binding protein	350.0	183.45
DUF4298	PF14131		Domain of unknown function (DUF4298)	87.0	96.74
MepB-like	PF08877	CL0236	MepB-like	122.0	154.37
NmrA	PF05368	CL0063	NmrA-like family	258.0	59.41
GerE	PF00196	CL0123	Bacterial regulatory proteins, luxR family	57.0	56.54
FecCD	PF01032	CL0142	FecCD transport family	308.0	319.06
