leaf_id	og_index	superkingdom	kingdom	phylum	class	order	family	genus	species	Bas##	morphotype	ICTV family	ICTV subfamily	ICTV genus	ICTV species	phage name	start_win	end_win	strand_win	start_target	end_target	seqid	align_gene
20	100	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage MeretOppenheim_Bas102	Bas102	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage MeretOppenheim	0	39651	+	0	39651	PQ850620.1	
21	65	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Autographivirales	Autotranscriptaviridae	Berlinvirus	Berlinvirus ernstbeyeler	Bas67	podovirus	Autographiviridae	Studiervirinae	Berlinvirus	unclassified	Escherichia phage ErnstBeyeler	0	39315	+	0	39315	MZ501064.1	
22	73	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage AnnaReinhart_Bas75	Bas75	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage AnnaReinhart	0	43870	+	0	43870	PQ850596.1	
23	101	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage EmilieLinder_Bas103	Bas103	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage EmilieLinder	0	40176	+	0	40176	PQ850602.1	
24	43	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus teqdroes	Bas44	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified (with R5505)	Escherichia phage AdolfPortmann	0	166773	+	0	166773	MZ501046.1	
25	103	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage ElsieAttenhofer_Bas105	Bas105	podovirus	Autographiviridae	Studiervirinae	Kayfunavirus	unclassified	Escherichia phage ElsieAttenhofer	0	39718	+	0	39718	PQ850601.1	
26	76	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage SandraMuster_Bas78	Bas78	siphovirus			Skatevirus	unclassified	Escherichia phage SandraMuster	0	46496	+	0	46496	PQ850625.1	
27	91	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage AidaStucki_Bas93	Bas93	podovirus		Gordonclarkvirinae	Kuravirus	unclassified	Escherichia phage AidaStucki	0	68851	+	0	68851	PQ850593.1	
28	20	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Seuratvirus	Escherichia phage GottfriedDienst	Bas21	siphovirus		Queuovirinae	Seuratvirus	unclassified	Escherichia phage GottfriedDienst	0	56589	+	0	56589	MZ501071.1	
29	60	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Justusliebigvirus	Escherichia phage EmilieFrey	Bas61	myovirus		Stephanstirmvirinae	Justusliebigvirus	unclassified	Escherichia phage EmilieFrey	0	146666	+	0	146666	MZ501063.1	
30	90	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage JacquesWildberger_Bas92	Bas92	podovirus		Gordonclarkvirinae	Kuravirus	unclassified	Escherichia phage JacquesWildberger	0	67748	+	0	67748	PQ850610.1	
31	27	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Epseptimavirus	Epseptimavirus irmatschudi	Bas28	siphovirus	Demerecviridae	Markadamsvirinae	Epseptimavirus	unclassified	Escherichia phage IrmaTschudi	0	115446	+	0	115446	MZ501076.1	
32	67	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Schitoviridae	Enquatrovirus	Enquatrovirus N4	Bas69	podovirus	Schitoviridae	Enquatrovirinae	Enquatrovirus	unclassified (with PMBT57)	Escherichia phage AlfredRasser	0	70849	+	0	70849	MZ501049.1	
33	40	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus teqhad	Bas41	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified (with teqhad)	Escherichia phage FriedrichZschokke	0	165574	+	0	165574	MZ501067.1	
34	15	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Dhillonvirus	Dhillonvirus georgbuechner	Bas16	siphovirus			Dhillonvirus	Dhillonvirus	Escherichia phage GeorgBuechner	0	44295	+	0	44295	MZ501070.1	
35	105	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Tequintavirus	Tequintavirus T5	n.a.	siphovirus	Demerecviridae	Markadamsvirinae	Tequintavirus	Escherichia virus T5	Escherichia phage T5 (reference)	0	121750	+	0	121750	NC_005859.1	
36	6	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Hanrivervirus	Hanrivervirus jacobbernoulli	Bas07	siphovirus	Drexlerviridae	Tempevirinae	Hanrivervirus	unclassified	Escherichia phage JakobBernoulli	0	51129	+	0	51129	MZ501079.1	
37	112	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Lambdavirus	Lambdavirus lambda	n.a.	siphovirus			Lambdavirus	Escherichia virus lambda	Escherichia phage lambda PaPa	0	48502	+	0	48502	NC_001416.1	
38	79	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage TanjaMuster_Bas81	Bas81	siphovirus			Skatevirus	unclassified	Escherichia phage TanjaMuster	0	47623	+	0	47623	PQ850630.1	
39	3	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Warwickvirus	Warwickvirus tonnikala	Bas04	siphovirus	Drexlerviridae	Tempevirinae	Warwickvirus	unclassified (with tonnikala)	Escherichia phage FritzSarasin	0	51777	+	0	51777	MZ501069.1	
40	32	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Tequintavirus	Tequintavirus hildybeyeler	Bas33	siphovirus	Demerecviridae	Markadamsvirinae	Tequintavirus	unclassified	Escherichia phage HildyBeyeler	0	111607	+	0	111607	MZ501074.1	
41	58	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus eduardkellenberger	Bas59	myovirus		Vequintavirinae	Vequintavirus	unclassified	Escherichia phage EduardKellenberger	0	131526	+	0	131526	MZ501061.1	
42	25	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Epseptimavirus	Epseptimavirus gretekellenberger	Bas26	siphovirus	Demerecviridae	Markadamsvirinae	Epseptimavirus	unclassified	Escherichia phage GreteKellenberger	0	114196	+	0	114196	MZ501072.1	
43	82	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage JohannBuxtorf_Bas84	Bas84	siphovirus			Dhillonvirus	unclassified	Escherichia phage JohannBuxtorf	0	44189	+	0	44189	PQ850611.1	
44	92	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage ManiMatter_Bas94	Bas94	podovirus		Gordonclarkvirinae	Kuravirus	unclassified	Escherichia phage ManiMatter	0	69824	+	0	69824	PQ850617.1	
45	33	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Tequintavirus	Tequintavirus selmaratti	Bas34	siphovirus	Demerecviridae	Markadamsvirinae	Tequintavirus	unclassified	Escherichia phage SelmaRatti	0	107080	+	0	107080	MZ501103.1	
46	97	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage ManiWeber_Bas99	Bas99	myovirus			Wifcevirus	unclassified	Escherichia phage ManiWeber	0	68355	+	0	68355	PQ850618.1	
47	84	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage OliverMaurmann_Bas86	Bas86	podovirus		Gordonclarkvirinae	Suseptimavirus	unclassified	Escherichia phage OliverMaurmann	0	76140	+	0	76140	PQ850622.1	
48	29	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Epseptimavirus	Epseptimavirus trudiroth	Bas30	siphovirus	Demerecviridae	Markadamsvirinae	Epseptimavirus	unclassified	Escherichia phage TrudiRoth	0	114488	+	0	114488	MZ501109.1	
49	56	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus nomine	Bas57	myovirus		Vequintavirinae	Vequintavirus	unclassified (with isim)	Escherichia phage MaxTheCat	0	135061	+	0	135061	MZ501094.1	
50	48	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus emilheitz	Bas49	myovirus		Vequintavirinae	Vequintavirus	unclassified	Escherichia phage EmilHeitz	0	139980	+	0	139980	MZ501062.1	
51	26	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Epseptimavirus	Epseptimavirus trudigerster	Bas27	siphovirus	Demerecviridae	Markadamsvirinae	Epseptimavirus	unclassified	Escherichia phage TrudiGerster	0	114179	+	0	114179	MZ501108.1	
52	87	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage KarlSchell_Bas89	Bas89	podovirus		Gordonclarkvirinae	Nieuwekanaalvirus	unclassified	Escherichia phage KarlSchell	0	76768	+	0	76768	PQ850613.1	
53	13	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Dhillonvirus	Dhillonvirus theodorherzl	Bas14	siphovirus			Dhillonvirus	Dhillonvirus	Escherichia phage TheodorHerzl	0	43627	+	0	43627	MZ501107.1	
54	24	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Seuratvirus	Escherichia phage VogelGryff	Bas25	siphovirus		Queuovirinae	Seuratvirus	unclassified	Escherichia phage VogelGryff	0	58342	+	0	58342	MZ501110.1	
55	37	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Escherichia phage AugustSocin	Bas38	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage AugustSocin	0	167411	+	0	167411	MZ501052.1	
56	75	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage ClaudiaMuster_Bas77	Bas77	siphovirus			Skatevirus	unclassified	Escherichia phage ClaudiaMuster	0	46037	+	0	46037	PQ850598.1	
57	80	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage KarinMuster_Bas82	Bas82	siphovirus			Nonanavirus	unclassified	Escherichia phage KarinMuster	0	58508	+	0	58508	PQ850612.1	
58	108	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus T6	n.a.	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage T6 (reference)	0	168706	+	0	168706	MH550421.1	
59	2	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Julespiccardvirus	Julespiccardvirus julespiccard	Bas03	siphovirus	Drexlerviridae	Braunvirinae	Guelphvirus	unclassified	Escherichia phage JulesPiccard	0	47731	+	0	47731	MZ501087.1	
60	72	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage SonjaBuckley_Bas74	Bas74	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage SonjaBuckley	0	43096	+	0	43096	PQ850627.1	
61	22	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Seuratvirus	Escherichia phage WildeMaa	Bas23	siphovirus		Queuovirinae	Seuratvirus	unclassified	Escherichia phage WildeMaa	0	60090	+	0	60090	MZ501112.1	
62	98	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage HansTraber_Bas100	Bas100	myovirus			Wifcevirus	unclassified	Escherichia phage HansTraber	0	68486	+	0	68486	PQ850605.1	
63	16	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Dhillonvirus	Dhillonvirus karlbarth	Bas17	siphovirus			Dhillonvirus	Dhillonvirus	Escherichia phage KarlBarth	0	43104	+	0	43104	MZ501088.1	
64	64	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Autographivirales	Autotranscriptaviridae	Teseptimavirus	Teseptimavirus jacobburckhardt	Bas65	podovirus	Autographiviridae	Studiervirinae	Teseptimavirus	unclassified	Escherichia phage JacobBurckhardt	0	39451	+	0	39451	MZ501078.1	
65	49	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus drschubert	Bas50	myovirus		Vequintavirinae	Vequintavirus	unclassified	Escherichia phage DrSchubert	0	138240	+	0	138240	MZ501060.1	
66	5	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Hanrivervirus	Hanrivervirus karljaspers	Bas06	siphovirus	Drexlerviridae	Tempevirinae	Hanrivervirus	unclassified	Escherichia phage KarlJaspers	0	51474	+	0	51474	MZ501090.1	
67	70	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage NicoleGrasset_Bas72	Bas72	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage NicoleGrasset	0	43746	+	0	43746	PQ850621.1	
68	36	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus pyps2t	Bas37	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage KarlGJung	0	167832	+	0	167832	MZ501089.1	
69	68	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage MarieHeimVoegtlin_Bas70	Bas70	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage MarieHeimVoegtlin	0	43265	+	0	43265	PQ850619.1	
70	86	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage StefiGeyer_Bas88	Bas88	podovirus		Gordonclarkvirinae	Suseptimavirus	unclassified	Escherichia phage StefiGeyer	0	76606	+	0	76606	PQ850628.1	
71	106	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus T2	n.a.	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage T2 (reference)	0	163832	+	0	163832	MH751506.1	
72	104	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage CurroJimenez_Bas106	Bas106	podovirus			Lederbergvirus	unclassified	Escherichia phage CurroJimenez	0	39042	+	0	39042	PQ850599.1	
73	93	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage HelliStehle_Bas95	Bas95	podovirus				unclassified	Escherichia phage HelliStehle	0	56332	+	0	56332	PQ850607.1	
74	45	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Mosigvirus	Mosigvirus phapec2	Bas46	myovirus	Straboviridae	Tevenvirinae	Mosigvirus	unclassified	Escherichia phage ChristianSchoenbein	0	169031	+	0	169031	MZ501056.1	
75	83	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage RuthEpting_Bas85	Bas85	siphovirus			Dhillonvirus	unclassified	Escherichia phage RuthEpting	0	44889	+	0	44889	PQ850624.1	
76	34	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus gee4498	Bas35	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified (with G29-2)	Escherichia phage WilhelmHis	0	166861	+	0	166861	MZ501113.1	
77	28	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Demerecviridae	Epseptimavirus	Epseptimavirus supergirl	Bas29	siphovirus	Demerecviridae	Markadamsvirinae	Epseptimavirus	unclassified	Escherichia phage SuperGirl	0	110821	+	0	110821	MZ501105.1	
78	9	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Drexlerviridae	Henuseptimavirus	Henuseptimavirus isaaklselin	Bas10	siphovirus	Drexlerviridae	Tempevirinae	unclassified	unclassified	Escherichia phage IsaakIselin	0	49911	+	0	49911	MZ501077.1	
79	77	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage SusanneMuster_Bas79	Bas79	siphovirus			Skatevirus	unclassified	Escherichia phage SusanneMuster	0	46874	+	0	46874	PQ850629.1	
80	94	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage RudolfBernhard_Bas96	Bas96	podovirus	Schitoviridae	Enquatrovirinae	Gamaleyavirus	unclassified	Escherichia phage RudolfBernhard	0	71918	+	0	71918	PQ850623.1	
81	71	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage GertrudWoker_Bas73	Bas73	siphovirus		Guernseyvirinae	Kagunavirus	unclassified	Escherichia phage GertrudWoker	0	43856	+	0	43856	PQ850603.1	
82	113	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Punavirus	Punavirus P1	n.a.	myovirus			Punavirus	Escherichia virus P1	Escherichia phage P1vir (reference)	0	94800	+	0	94800	NC_005856.1	
83	110	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Schitoviridae	Enquatrovirus	Enquatrovirus N4	n.a.	podovirus	Schitoviridae	Enquatrovirinae	Enquatrovirus	Escherichia virus N4	Escherichia phage N4 (reference)	0	70153	+	0	70153	NC_008720.1	
84	95	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage HeidiAbel_Bas97	Bas97	myovirus		Iiscvirinae	Jilinvirus	unclassified	Escherichia phage HeidiAbel	0	41040	+	0	41040	PQ850606.1	
85	96	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage HermannAdler_Bas98	Bas98	myovirus			Wifcevirus	unclassified	Escherichia phage HermannAdler	0	68382	+	0	68382	PQ850608.1	
86	55	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Vequintavirus	Vequintavirus alexboehm	Bas56	myovirus		Vequintavirinae	Vequintavirus	unclassified (with isim)	Escherichia phage AlexBoehm	0	135345	+	0	135345	MZ501048.1	
87	85	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage AnnaHegner_Bas87	Bas87	podovirus		Gordonclarkvirinae	Suseptimavirus	unclassified	Escherichia phage AnnaHegner	0	77516	+	0	77516	PQ850594.1	
88	38	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus teqdroes	Bas39	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	unclassified	Escherichia phage FriedrichMiescher	0	169509	+	0	169509	MZ501066.1	
89	19	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Nonagvirus	Escherichia phage FritzHoffmann	Bas20	siphovirus		Queuovirinae	Nonagvirus	unclassified	Escherichia phage FritzHoffmann	0	59834	+	0	59834	MZ501068.1	
90	61	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Justusliebigvirus	Escherichia phage JohannJBalmer	Bas62	myovirus		Stephanstirmvirinae	Justusliebigvirus	unclassified	Escherichia phage JohannJBalmer	0	144831	+	0	144831	MZ501084.1	
91	14	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Dhillonvirus	Dhillonvirus paulfeyerabend	Bas15	siphovirus			Dhillonvirus	Dhillonvirus	Escherichia phage PaulFeyerabend	0	44550	+	0	44550	MZ501097.1	
92	114	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	Peduoviridae	Peduovirus	Peduovirus P2	n.a.	myovirus	Peduoviridae		Peduovirus	Escherichia virus P2	Escherichia phage P2vir (reference)	0	33593	+	0	33593	NC_001895.1	
93	89	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	unclassified	Escherichia phage LorandFenyves_Bas91	Bas91	podovirus		Gordonclarkvirinae	Kuravirus	Kuravirus SU10	Escherichia phage LorandFenyves	0	76436	+	0	76436	PQ850614.1	
94	107	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	Pantevenvirales	Straboviridae	Tequatrovirus	Tequatrovirus T4	n.a.	myovirus	Straboviridae	Tevenvirinae	Tequatrovirus	Escherichia virus T4	Escherichia phage T4D (reference)	0	168903	+	0	168903	NC_000866.4	
95	111	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Lambdavirus	Lambdavirus lambda	n.a.	siphovirus			Lambdavirus	Escherichia virus lambda	Escherichia phage lambdavir (reference)	0	48502	+	0	48502	NC_001416.1	
96	21	unclassified	Heunggongvirae	Uroviricota	Caudoviricetes	unclassified	unclassified	Seuratvirus	Escherichia phage KurtStettler	Bas22	siphovirus		Queuovirinae	Seuratvirus	unclassified	Escherichia phage KurtStettler	0	58567	+	0	58567	MZ501091.1	
