domain_id	Accession_pfam	Clan_pfam	EC_phrog	Function_pfam	Function_phrog	L1_phrog	alignment_length	bit_score
DnaB	PF00772	CL0929		DnaB-like helicase N terminal domain			103.0	119.61
phrog_5944					hypothetical	unknown function	138.0	273.92
phrog_13090					hypothetical	unknown function	123.0	277.21
Fibritin_C	PF07921			Fibritin C-terminal region			112.0	112.52
Thioredoxin	PF00085	CL0172		Thioredoxin			86.0	27.7
phrog_147					transcriptional regulator	transcription regulation	99.0	141.86
phrog_308					internal virion protein	head and packaging	138.0	149.07
phrog_13467					hypothetical	unknown function	174.0	370.94
phrog_931					head morphogenesis	head and packaging	111.0	166.61
phrog_4069					Hoc-like head decoration	head and packaging	116.0	192.15
phrog_7352					hypothetical	unknown function	126.0	233.31
phrog_2050					virion structural protein	head and packaging	299.0	324.12
phrog_30617					hypothetical	unknown function	62.0	139.74
phrog_12232					hypothetical	unknown function	188.0	447.26
phrog_12401					hypothetical	unknown function	79.0	119.64
phrog_2418					hypothetical	unknown function	281.0	508.9
phrog_25697					hypothetical	unknown function	67.0	163.59
phrog_12900					hypothetical	unknown function	160.0	372.7
T4_MRH	PF24070			T4 MRH-like protein family			144.0	67.55
COOH-NH2_lig	PF14395			Phage phiEco32-like COOH.NH2 ligase-type 2			114.0	33.75
phrog_2456					glycosyltransferase	moron, auxiliary metabolic gene and host takeover	220.0	259.06
DNA_topoisoIV	PF00521			DNA gyrase/topoisomerase IV, subunit A			413.0	258.75
phrog_9871					hypothetical	unknown function	173.0	368.06
phrog_5676					hypothetical	unknown function	80.0	144.14
T4_UVSX_C	PF21134			Bacteriophage T4, Recombination and repair protein, C-terminal domain			65.0	131.14
phrog_1154					long tail fiber protein proximal connector	tail	371.0	559.52
phrog_15437					tail fiber protein	tail	653.0	1349.99
phrog_8601					hypothetical	unknown function	79.0	168.91
phrog_1426					hypothetical	unknown function	73.0	163.21
Phage_head_fibr	PF11133			Head fiber protein			132.0	17.59
phrog_3933					hypothetical	unknown function	43.0	84.89
DUF7022	PF22887			Family of unknown function (DUF7022)			94.0	109.33
phrog_2042					hypothetical	unknown function	68.0	123.15
phrog_16605					hypothetical	unknown function	184.0	386.93
phrog_2681					hypothetical	unknown function	54.0	123.84
phrog_31					central tail fiber J	tail	1121.0	1502.35
phrog_5768					hypothetical	unknown function	66.0	137.73
Phage_TAC_2	PF06894	CL0567		Bacteriophage lambda tail assembly chaperone, TAC, protein G			127.0	142.66
phrog_11701					hypothetical	unknown function	87.0	183.69
Phage-Gp8	PF09215	CL0187		Bacteriophage T4, Gp8			325.0	655.7
phrog_5021					hypothetical	unknown function	115.0	235.94
phrog_8591					hypothetical	unknown function	61.0	131.47
phrog_82					head closure Hc1	connector	117.0	168.65
phrog_6515					dGTPase inhibitor	other	83.0	130.93
phrog_4718					hypothetical	unknown function	67.0	137.33
phrog_12324					intron-like DNA endonuclease	DNA, RNA and nucleotide metabolism	229.0	542.12
phrog_13804					hypothetical	unknown function	61.0	119.78
Phage_DEC_PhiTE	PF26074			Bacteriophage PhiTE minor capsid decoration protein			129.0	164.61
phrog_9625					hypothetical	unknown function	133.0	25.72
phrog_1801					tail fiber protein	tail	339.0	612.61
phrog_20928					hypothetical	unknown function	45.0	57.66
phrog_15453					hypothetical	unknown function	108.0	243.02
phrog_13301					hypothetical	unknown function	68.0	160.38
phrog_7894					hypothetical	unknown function	139.0	217.49
phrog_11345					hypothetical	unknown function	37.0	99.81
T4_neck-protein	PF11649			Virus neck protein			254.0	461.18
phrog_3566					hypothetical	unknown function	114.0	154.34
DUF7235	PF23882			Family of unknown function (DUF7235)			315.0	61.0
Gp44_lid	PF21328	CL0671		Sliding-clamp-loader large subunit, AAA+ ATPase lid domain			63.0	114.59
phrog_518					Rha-like transcriptional regulator	transcription regulation	175.0	244.42
GP67	PF17634			Gene product 67			85.0	144.26
phrog_1967					DNA helicase	DNA, RNA and nucleotide metabolism	514.0	472.83
phrog_1254					hypothetical	unknown function	80.0	135.37
phrog_13367					hypothetical	unknown function	77.0	41.13
Gp138_N	PF18352	CL0021		Phage protein Gp138 N-terminal domain			81.0	36.57
RNA_pol_inhib	PF16857			RNA polymerase inhibitor			47.0	97.33
phrog_8103					hypothetical	unknown function	185.0	198.11
Phage_cap_E	PF03864	CL0373		Phage major capsid protein E			336.0	243.13
NTP_transferase	PF00483	CL0110		Nucleotidyl transferase			109.0	38.19
Phage-tail_1	PF09097	CL0504		Baseplate structural protein, domain 1			196.0	309.76
phrog_7961					hypothetical	unknown function	101.0	103.28
phrog_1998					hypothetical	unknown function	52.0	114.14
phrog_37174					hypothetical	unknown function	58.0	36.44
Phage_T4_Y04L	PF26871			Phage T4 Y04L protein			99.0	156.17
N6_Mtase	PF02384	CL0063		N-6 DNA Methylase			231.0	27.53
phrog_10541					hypothetical	unknown function	88.0	83.61
phrog_2430					hypothetical	unknown function	65.0	126.2
phrog_2364					hypothetical	unknown function	100.0	173.28
phrog_23906					hypothetical	unknown function	90.0	138.59
phrog_1497					portal protein	head and packaging	569.0	884.38
NfeD1b_N	PF25145	CL0127		NfeD1b, N-terminal domain			94.0	4.93
SAP	PF02037	CL0306		SAP domain			37.0	25.15
phrog_171					NinG/ Rap DNA junction specific endonuclease	DNA, RNA and nucleotide metabolism	204.0	330.21
phrog_35072					hypothetical	unknown function	79.0	193.03
phrog_8					transcriptional regulator	transcription regulation	62.0	32.28
Ral	PF11058			Antirestriction protein Ral			66.0	162.42
T4_Cef	PF24050			Phage T4 Cef protein family			70.0	112.51
phrog_4366					head fiber protein	head and packaging	99.0	129.43
DUF5486	PF17588			Family of unknown function (DUF5486)			53.0	133.34
InPase	PF18823			Inorganic Pyrophosphatase			131.0	157.56
phrog_1102					Ndd-like nucleoid disruption protein	DNA, RNA and nucleotide metabolism	151.0	218.41
phrog_2468					head morphogenesis	head and packaging	319.0	227.26
phrog_200					lipoprotein	other	278.0	306.11
phrog_18601					hypothetical	unknown function	69.0	31.41
phrog_14815					hypothetical	unknown function	69.0	159.46
phrog_4330					hypothetical	unknown function	182.0	356.92
Prok-JAB	PF14464	CL0366		Prokaryotic homologs of the JAB domain			113.0	52.18
phrog_560					hypothetical	unknown function	204.0	224.99
DUF7325	PF24011			Family of unknown function (DUF7325)			96.0	82.23
phrog_25149					hypothetical	unknown function	156.0	366.67
phrog_32204					tail protein	tail	628.0	1172.97
phrog_1320					host range and adsorption protein	moron, auxiliary metabolic gene and host takeover	99.0	102.16
phrog_1972					hypothetical	unknown function	83.0	71.84
DUF1382	PF07131			Protein of unknown function (DUF1382)			60.0	96.41
phrog_19205					hypothetical	unknown function	178.0	364.65
phrog_15056					hypothetical	unknown function	88.0	168.14
phrog_13018					hypothetical	unknown function	299.0	666.34
GP38	PF05268	CL0762		Phage tail fibre adhesin Gp38			215.0	144.81
phrog_10558					hypothetical	unknown function	191.0	400.81
phrog_30988					hypothetical	unknown function	66.0	161.43
phrog_1351					terminase small subunit	head and packaging	88.0	137.51
DUF7248	PF23906			Family of unknown function (DUF7248)			63.0	76.08
phrog_910					tail collar fiber protein	tail	527.0	673.42
phrog_12861					hypothetical	unknown function	87.0	206.31
phrog_14557					hypothetical	unknown function	38.0	88.96
phrog_4424					hypothetical	unknown function	49.0	120.45
phrog_1039					immunity to superinfection	moron, auxiliary metabolic gene and host takeover	83.0	118.8
phrog_6447					membrane protein	moron, auxiliary metabolic gene and host takeover	81.0	158.66
DUF7217	PF23854			Domain of unknown function (DUF7217)			236.0	264.6
DUF7416	PF24188			Family of unknown function (DUF7416)			67.0	121.06
phrog_8267					hypothetical	unknown function	64.0	143.98
phrog_24303					hypothetical	unknown function	58.0	151.55
phrog_2056					tail fiber protein; host specificity	tail	261.0	369.43
phrog_2290					hypothetical	unknown function	171.0	211.66
phrog_2900					hypothetical	unknown function	78.0	126.56
phrog_16623					hypothetical	unknown function	149.0	157.21
Ogr_Delta	PF04606	CL0167		Ogr/Delta-like zinc finger			47.0	77.86
phrog_8235					anti-repressor	transcription regulation	167.0	84.84
Glycos_transf_1	PF00534	CL0113		Glycosyl transferases group 1			94.0	24.44
phrog_12633					hypothetical	unknown function	78.0	137.48
phrog_9384					hypothetical	unknown function	54.0	60.13
phrog_12277					hypothetical	unknown function	139.0	317.53
phrog_2144					MazG-like pyrophosphatase	other	251.0	337.04
phrog_3281					endonuclease VII	DNA, RNA and nucleotide metabolism	98.0	69.91
phrog_16039					hypothetical	unknown function	72.0	155.62
phrog_4548					hypothetical	unknown function	52.0	105.02
phrog_8967					hypothetical	unknown function	138.0	305.96
phrog_17459					hypothetical	unknown function	80.0	131.77
phrog_15951					hypothetical	unknown function	61.0	86.99
T5_p143	PF25747			Bacteriophage T5 tail completion protein p143			255.0	421.42
VRR_NUC	PF08774	CL0236		VRR-NUC domain			107.0	32.42
Phage_GPA	PF05840	CL0169		Bacteriophage replication gene A protein (GPA)			330.0	415.06
phrog_1256					valyl tRNA synthetase modifier	DNA, RNA and nucleotide metabolism	115.0	133.01
Phage_HCP	PF05521	CL0504		Phage head completion protein			124.0	34.38
phrog_4227					endonuclease nicking abasic sites generated by host uracil glycosylase Ung	moron, auxiliary metabolic gene and host takeover	70.0	167.75
phrog_1591					tail fiber protein	tail	195.0	270.45
phrog_316					dihydrofolate reductase	DNA, RNA and nucleotide metabolism	193.0	193.65
phrog_3611					helicase	DNA, RNA and nucleotide metabolism	231.0	427.62
phrog_3500					hypothetical	unknown function	171.0	243.87
phrog_3228					replicative helicase-primase	DNA, RNA and nucleotide metabolism	753.0	1152.82
phrog_4116					hypothetical	unknown function	119.0	237.21
DUF2732	PF10809			Protein of unknown function (DUF2732)			70.0	71.3
phrog_5104					hypothetical	unknown function	201.0	270.51
phrog_3880					hypothetical	unknown function	91.0	143.62
DUF5490	PF17593			Family of unknown function (DUF5490)			62.0	161.53
ValRS_modifier	PF26829			Valyl--tRNA ligase modifier family			114.0	98.24
phrog_3272					hypothetical	unknown function	58.0	117.28
phrog_4877					hypothetical	unknown function	201.0	247.56
phrog_25811					hypothetical	unknown function	55.0	37.48
phrog_5967					hypothetical	unknown function	66.0	142.42
phrog_24607					tail protein	tail	112.0	31.12
phrog_2375					hypothetical	unknown function	70.0	131.88
phrog_65					tail terminator	connector	155.0	227.79
Terminase_6C	PF17289	CL0219		Terminase RNaseH-like domain			176.0	112.33
Phage_tail_terminator_7	PF23818	CL0691		Bacteriophage Tail Tube Terminator Protein			161.0	268.74
phrog_17947					hypothetical	unknown function	86.0	162.39
phrog_3142					FabG-like 3-oxoacyl-(acyl-carrier-protein) reductase	moron, auxiliary metabolic gene and host takeover	225.0	170.51
phrog_19316					hypothetical	unknown function	88.0	198.3
phrog_7832					hypothetical	unknown function	84.0	82.64
phrog_15078					hypothetical	unknown function	142.0	278.25
phrog_29567					hypothetical	unknown function	54.0	130.37
phrog_12090					hypothetical	unknown function	63.0	116.94
Phage_T5_A2	PF26822			Phage T5 A2 protein family			135.0	202.91
phrog_7065					hypothetical	unknown function	76.0	122.34
phrog_16768					hypothetical	unknown function	54.0	53.86
Phage_lipoprotein	PF24052			Phage lipoprotein family			75.0	136.11
T4_y05I_C	PF24448	CL0609		y05I-like putative transcription factor C-terminal domain			71.0	44.13
phrog_1302					distal tail protein	tail	195.0	166.45
phrog_19031					hypothetical	unknown function	58.0	148.66
ADPrib_exo_Tox	PF03496	CL0084		ADP-ribosyltransferase exoenzyme			222.0	68.37
phrog_34195					hypothetical	unknown function	29.0	74.91
phrog_388					nucleotidyltransferase	DNA, RNA and nucleotide metabolism	336.0	353.15
phrog_18528					hypothetical	unknown function	71.0	160.97
phrog_10820					HNH endonuclease	DNA, RNA and nucleotide metabolism	192.0	312.77
Phage_TAC_18	PF23812	CL0567		Phage tail assembly chaperone			75.0	47.49
phrog_12654					RexA-like exclusion protein	moron, auxiliary metabolic gene and host takeover	279.0	534.43
phrog_4114					hypothetical	unknown function	123.0	252.03
phrog_11621					Rz-like spanin	lysis	84.0	73.02
zf-His_Me_endon	PF05551	CL0263		Zinc-binding loop region of homing endonuclease			83.0	22.43
phrog_7393					hypothetical	unknown function	63.0	104.58
phrog_16230					replication protein	DNA, RNA and nucleotide metabolism	154.0	364.83
phrog_15930					ribonucleotide reductase	DNA, RNA and nucleotide metabolism	316.0	618.56
phrog_26823					hypothetical	unknown function	68.0	171.23
DUF2828	PF11443	CL0020		Domain of unknown function (DUF2828)			123.0	68.59
phrog_671					nucleotide pyrophosphohydrolase	other	237.0	77.29
phrog_22313					hypothetical	unknown function	204.0	473.16
phrog_1265					membrane protein	moron, auxiliary metabolic gene and host takeover	311.0	316.26
phrog_9160					hypothetical	unknown function	121.0	159.61
DUF5491	PF17595			Family of unknown function (DUF5491)			68.0	167.86
phrog_958					baseplate wedge subunit	tail	602.0	1021.8
phrog_2531					hypothetical	unknown function	107.0	112.93
phrog_323					transcriptional regulator, D5-like	transcription regulation	281.0	68.74
phrog_15964					hypothetical	unknown function	57.0	119.46
DUF3383	PF11863			Protein of unknown function (DUF3383)			459.0	69.39
phrog_8649					hypothetical	unknown function	641.0	539.37
phrog_7798					hypothetical	unknown function	202.0	216.08
phrog_774					hypothetical	unknown function	64.0	85.93
phrog_2378					hypothetical	unknown function	181.0	201.2
phrog_10316					tail fiber protein	tail	84.0	44.93
phrog_3024					hypothetical	unknown function	62.0	148.49
DUF7176	PF23800			Family of unknown function (DUF7176)			94.0	167.09
phrog_44					single strand DNA binding protein	DNA, RNA and nucleotide metabolism	135.0	85.22
phrog_13745					Ig domain containing protein	other	146.0	269.59
phrog_5909					terminase large subunit	head and packaging	314.0	461.2
phrog_7857					internal virion protein	head and packaging	98.0	178.76
phrog_2855					hypothetical	unknown function	91.0	108.74
phrog_120					baseplate wedge subunit	tail	139.0	89.44
phrog_6246					hypothetical	unknown function	121.0	177.04
DNA_ligase_A_M	PF01068	CL0179		ATP dependent DNA ligase domain			233.0	114.56
phrog_13					Rz-like spanin	lysis	153.0	272.7
phrog_1360					DenB-like DNA endonuclease IV	DNA, RNA and nucleotide metabolism	158.0	291.33
phrog_16862					hypothetical	unknown function	50.0	46.09
phrog_3723					hypothetical	unknown function	79.0	128.02
phrog_41					major tail protein	tail	246.0	422.45
phrog_315					endolysin	lysis	208.0	208.49
ERF	PF04404			ERF superfamily			137.0	92.6
phrog_2321					Ref-like RecA filament endonuclease	DNA, RNA and nucleotide metabolism	186.0	387.44
motB	PF17613			Modifier of transcription			163.0	320.88
phrog_8932					hypothetical	unknown function	93.0	144.97
phrog_27099					hypothetical	unknown function	57.0	96.55
phrog_4660					minor head protein	head and packaging	781.0	1256.02
phrog_2350					hypothetical	unknown function	51.0	128.82
phrog_9919					hypothetical	unknown function	94.0	192.57
phrog_7042					hypothetical	unknown function	62.0	105.48
phrog_14613					hypothetical	unknown function	68.0	93.53
phrog_4736					L-glutamine-D-fructose-6-phosphate aminotransferase	other	687.0	469.31
phrog_18901					hypothetical	unknown function	137.0	187.26
phrog_1687					MarR family transcrition regulator	transcription regulation	162.0	130.87
phrog_5236					hypothetical	unknown function	67.0	156.9
phrog_2520					gamma-glutamyl cyclotransferase	moron, auxiliary metabolic gene and host takeover	139.0	152.14
phrog_21365					hypothetical	unknown function	214.0	387.26
DUF4379	PF14311	CL0839		Probable Treble clef zinc finger domain			44.0	11.33
phrog_26739					hypothetical	unknown function	61.0	85.81
phrog_1143					DNA helicase	DNA, RNA and nucleotide metabolism	75.0	133.52
phrog_18312					hypothetical	unknown function	101.0	230.89
phrog_22730					hypothetical	unknown function	68.0	168.55
phrog_29955					appendage	connector	556.0	1298.2
phrog_2037					hypothetical	unknown function	72.0	137.95
phrog_457					tail protein	tail	794.0	1042.3
phrog_4258					hypothetical	unknown function	94.0	164.75
phrog_24939					hypothetical	unknown function	97.0	152.77
phrog_15231					hypothetical	unknown function	232.0	35.12
phrog_2652					hypothetical	unknown function	89.0	128.1
phrog_4185					minor head protein	head and packaging	140.0	186.71
DUF4326	PF14216	CL0031		Domain of unknown function (DUF4326)			82.0	70.64
phrog_1048					hypothetical	unknown function	88.0	83.59
phrog_617					major head protein	head and packaging	680.0	724.58
phrog_25234					hypothetical	unknown function	56.0	49.48
phrog_4903					hypothetical	unknown function	66.0	116.41
Gp7_5th	PF21427			Baseplate wedge protein gp7, domain V			96.0	157.62
Lambda_tail_I	PF06805	CL0072		Bacteriophage lambda tail assembly protein I			85.0	99.08
phrog_283					major head protein	head and packaging	429.0	394.6
Phage_T4_rIIB	PF26926			Bacteriophage T4 protein rIIB			279.0	151.28
phrog_1695					hypothetical	unknown function	91.0	139.8
phrog_761					thymidylate kinase	other	182.0	145.81
phrog_947					DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism	330.0	274.5
DUF7355	PF24051			Domain of unknown function (DUF7355)			91.0	101.24
phrog_643					transcriptional regulator	transcription regulation	78.0	79.5
phrog_27223					hypothetical	unknown function	238.0	177.79
DUF7238	PF23885			Family of unknown function (DUF7238)			92.0	31.42
phrog_16298					hypothetical	unknown function	57.0	140.18
phrog_23152					hypothetical	unknown function	35.0	94.76
phrog_1739					hypothetical	unknown function	96.0	153.57
DUF8272	PF26839			Family of unknown function (DUF8272)			41.0	66.53
phrog_268					hypothetical	unknown function	68.0	112.25
DUF5856	PF19174			Family of unknown function (DUF5856)			93.0	108.06
phrog_2120					tail length tape measure protein	tail	403.0	486.06
phrog_5086					hypothetical	unknown function	108.0	114.15
phrog_1566					hypothetical	unknown function	61.0	106.5
phrog_4841					hypothetical	unknown function	159.0	168.94
phrog_4713					hypothetical	unknown function	154.0	277.08
phrog_6040					hypothetical	unknown function	690.0	1266.72
DUF5477	PF17571			Family of unknown function (DUF5477)			77.0	177.68
phrog_14379					hypothetical	unknown function	64.0	152.34
Ferritin	PF00210	CL0044		Ferritin-like domain			102.0	29.8
Peptidase_S77	PF03420	CL0201		Prohead core protein serine protease			185.0	370.76
phrog_7716					hypothetical	unknown function	55.0	143.85
phrog_1950					hypothetical	unknown function	70.0	107.62
phrog_3					transcriptional repressor	transcription regulation	71.0	51.75
phrog_2079					hypothetical	unknown function	69.0	164.28
phrog_899					hypothetical	unknown function	90.0	85.7
phrog_10380					hypothetical	unknown function	53.0	85.06
phrog_1411					hypothetical	unknown function	133.0	176.13
Phage_tail_T	PF06223			Minor tail protein T			76.0	54.48
phrog_24969					hypothetical	unknown function	53.0	135.67
phrog_3330					hypothetical	unknown function	112.0	155.07
phrog_18783					hypothetical	unknown function	92.0	219.71
phrog_105					tail fiber assembly	tail	194.0	319.29
phrog_1647					hypothetical	unknown function	60.0	113.89
phrog_4281					hypothetical	unknown function	75.0	115.6
T4_gp9_10_C	PF23618	CL0840		Bacteriophage T4 gp9/10-like protein, C-terminal			104.0	144.69
phrog_9477					hypothetical	unknown function	72.0	147.63
phrog_812					Rz-like spanin	lysis	99.0	150.14
phrog_2160					hypothetical	unknown function	82.0	190.16
S-AdoMet_lyase	PF23780			S-Adenosylmethionine lyase family			140.0	140.83
Phage_sheath_1C	PF17482	CL0763		Phage tail sheath C-terminal domain			103.0	78.86
Phage_holin_3_1	PF05106	CL0564		Phage holin family (Lysis protein S)			97.0	105.13
phrog_4308					hypothetical	unknown function	80.0	81.65
phrog_12851					hypothetical	unknown function	83.0	192.85
phrog_1354					cef modifier of supressor tRNAs	moron, auxiliary metabolic gene and host takeover	70.0	128.41
phrog_16556					hypothetical	unknown function	53.0	98.74
phrog_758					head morphogenesis	head and packaging	317.0	374.68
phrog_4146					tail protease	other	125.0	253.07
phrog_11083					hypothetical	unknown function	186.0	41.68
phrog_2580					tail fiber protein	tail	176.0	199.96
phrog_11869					hypothetical	unknown function	113.0	260.62
phrog_1120					tail tube protein	tail	169.0	268.03
phrog_111					DNA methyltransferase	other	220.0	224.1
phrog_155					Erf-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	216.0	151.59
phrog_3487					hypothetical	unknown function	49.0	101.88
phrog_1954					virion structural protein	head and packaging	209.0	13.49
Lambda_Bor	PF06291			Bor protein			77.0	107.12
Phage_T4_Y04K	PF26835			Phage T4 Y04K protein			106.0	102.89
phrog_2407					hypothetical	unknown function	261.0	492.36
DUF7200	PF23830			Domain of unknown function (DUF7200)			89.0	124.17
phrog_22345					hypothetical	unknown function	79.0	191.07
phrog_5468					hypothetical	unknown function	114.0	226.83
phrog_2856					transcriptional regulator	transcription regulation	163.0	280.4
phrog_1527					holin	lysis	109.0	162.36
phrog_6672					terminase large subunit	head and packaging	137.0	113.38
phrog_4475					head protein	head and packaging	128.0	191.54
phrog_5717					tail protein	tail	595.0	276.29
DUF7174	PF23796			Family of unknown function (DUF7174)			159.0	147.68
